Objeto,Distancia Real Estimada,Coordenada X Fantasma 1,Coordenada X Fantasma 2,Disparidad (px)
A (Cercano),~0.5 m,804.0403225806452,762.0120967741935,42.0282258064517
B (Medio),~2 m,773.2696572580645,756.7585685483871,16.511088709677438
C (Fondo),>5 m,582.6416330645161,590.1466733870968,7.505040322580726
